oid,expid,hjd,mjd,mag,magerr,catflags,filtercode,ra,dec,chi,sharp,filefracday,field,ccdid,qid,limitmag,magzp,magzprms,clrcoeff,clrcounc,exptime,airmass,programid
851201400007970,128342299,2459037.9228463755,59037.4229977,13.5066986,0.0115056885,0,zr,325.3484465,65.9271355,0.73299998,-0.0540000014,20200707422998,851,0x1,0x4,20.5400009,26.0761013,0.0155655136,0.0881649777,2.5110412e-06,30,1.23800004,3
851201400007970,128342346,2459037.9233092917,59037.4234606,13.4966164,0.0115034673,0,zr,325.3484755,65.9271298,0.944999993,-0.0350000001,20200707423461,851,0x1,0x4,20.5599995,26.0699787,0.0172897615,0.0953641012,3.12725365e-06,30,1.23800004,3
851201400007970,128342392,2459037.9237723076,59037.4239236,13.5123653,0.0115069477,0,zr,325.348462,65.9271393,1.40699995,-0.107000001,20200707423924,851,0x1,0x4,20.5,26.0717907,0.0171229467,0.0927258432,3.07316827e-06,30,1.23800004,3
851201400007970,128342439,2459037.924246825,59037.4243981,13.5114651,0.0115067475,0,zr,325.3484713,65.9271329,0.84799999,-0.0649999976,20200707424398,851,0x1,0x4,20.5400009,26.0738869,0.0163561068,0.0936631635,2.7968124e-06,30,1.23899996,3
851201400007970,128342486,2459037.9247098393,59037.4248611,13.5066376,0.0115056755,0,zr,325.3485069,65.9271437,1.09300005,-0.0920000002,20200707424861,851,0x1,0x4,20.5,26.0690403,0.0170611124,0.0966616571,3.01787759e-06,30,1.23899996,3
851201400007970,128342533,2459037.9251843574,59037.4253356,13.4975338,0.0115036676,0,zr,325.3484692,65.9271417,0.750999987,-0.0599999987,20200707425324,851,0x1,0x4,20.5100002,26.0678997,0.0165180005,0.0971521065,2.86865338e-06,30,1.23899996,3
851201400007970,128342579,2459037.925647373,59037.4257986,13.5075216,0.0115058701,0,zr,325.3484974,65.9271478,0.718999982,-0.057,20200707425799,851,0x1,0x4,20.5499992,26.0639267,0.016397506,0.0960230604,2.80595805e-06,30,1.23899996,3
851201400007970,128342626,2459037.92611039,59037.4262616,13.4959183,0.0115033155,0,zr,325.3484779,65.9271432,1.08700001,0.0209999997,20200707426262,851,0x1,0x4,20.5599995,26.067276,0.0173754077,0.0975065455,3.14698559e-06,30,1.23899996,3
851201400007970,128342673,2459037.926584908,59037.4267361,13.5089417,0.0115061859,0,zr,325.3484701,65.9271348,1.12,-0.0480000004,20200707426736,851,0x1,0x4,20.5400009,26.0723515,0.0164176226,0.0927568749,2.83367126e-06,30,1.23899996,3
851201400007970,128342719,2459037.9270479227,59037.4271991,13.4970798,0.0115035689,0,zr,325.3484858,65.927147,0.736000001,0.0219999999,20200707427199,851,0x1,0x4,20.5400009,26.0634441,0.0176206492,0.0951423347,3.24013286e-06,30,1.23899996,3
851201400007970,128342766,2459037.9275108413,59037.427662,13.5041513,0.0115051251,0,zr,325.3484641,65.9271274,0.748000026,0.00400000019,20200707427662,851,0x1,0x4,20.5799999,26.0725422,0.0161824003,0.0926630497,2.73475121e-06,30,1.23899996,3
851201400007970,128342813,2459037.9279854563,59037.4281366,13.5020819,0.0115046669,0,zr,325.3484856,65.9271448,0.901000023,-0.00200000009,20200707428137,851,0x1,0x4,20.5699997,26.0644646,0.0175412036,0.0984546915,3.21027187e-06,30,1.24000001,3
851201400007970,128342859,2459037.9284483735,59037.4285995,13.5065393,0.0115056532,0,zr,325.3484622,65.9271454,0.505999982,0.00600000005,20200707428600,851,0x1,0x4,20.5499992,26.07094,0.0170226805,0.094708018,3.03239199e-06,30,1.24000001,3
851201400007970,128342907,2459037.9289229917,59037.4290741,13.4986267,0.0115039088,0,zr,325.3484842,65.9271175,0.765999973,-0.0149999997,20200707429074,851,0x1,0x4,20.5,26.0689945,0.0175948646,0.0977432802,3.21055018e-06,30,1.24000001,3
851201400007970,128342953,2459037.9293859075,59037.429537,13.4940109,0.0115028983,0,zr,325.3484907,65.9271277,0.959999979,-0.00899999961,20200707429537,851,0x1,0x4,20.5499992,26.0683613,0.0175178424,0.0983764082,3.17530021e-06,30,1.24000001,3
851201400007970,128343000,2459037.929848923,59037.43,13.4970703,0.011503567,0,zr,325.3484707,65.9271418,1.11099994,0.0140000004,20200707430000,851,0x1,0x4,20.5300007,26.0704327,0.0161523838,0.0952426344,2.71987074e-06,30,1.24000001,3
851201400007970,128343047,2459037.930323441,59037.4304745,13.5135832,0.0115072206,0,zr,325.3484952,65.9271223,0.952000022,-0.0209999997,20200707430475,851,0x1,0x4,20.5400009,26.0690117,0.0164610688,0.0937260166,2.82368387e-06,30,1.24000001,3
851201400007970,128343093,2459037.9307864564,59037.4309375,13.4913425,0.0115023181,0,zr,325.3484805,65.9271371,0.352999985,0.00100000005,20200707430938,851,0x1,0x4,20.5400009,26.0676823,0.0161464214,0.0924149379,2.7339081e-06,30,1.24000001,3
851201400007970,128343140,2459037.9312494732,59037.4314005,13.5058565,0.0115055023,0,zr,325.3484486,65.9271449,0.81099999,-0.0140000004,20200707431400,851,0x1,0x4,20.5200005,26.0692539,0.0160625223,0.0920143798,2.70673149e-06,30,1.24100006,3
