Name,RA,Dec,SED_Slope,YSO_Class,LCType
J162101.71-495237.1,245.257131,-49.8769,-1.15,ClassII,Irregular
J195144.72+260440.4,297.93649,26.077951,-1.03,ClassII,NV
J085825.54-473051.9,134.60661,-47.514317,0.45,ClassI,Irregular
J164918.20-444424.0,252.325968,-44.740029,-1.37,ClassII,Drop
J144453.59-601259.3,221.223309,-60.216411,0.16,FS,Irregular
J142027.01-605617.9,215.112122,-60.938327,-0.57,ClassII,NV
J175012.68-253432.7,267.552871,-25.575762,-0.03,FS,Irregular
J142243.65-610801.1,215.681979,-61.133576,-0.71,ClassII,NV
J181956.59-210248.0,274.9856,-21.046454,-1.14,ClassII,NV
J181912.19-171157.2,274.800955,-17.19935,-1.04,ClassII,Irregular
J183627.86-090706.8,279.116322,-9.118346,-1.22,ClassII,NV
J204354.27+403349.4,310.976148,40.563716,-1.78,ClassIII,NV
J091012.18-475013.2,137.550684,-47.837023,-0.17,FS,Periodic
J090858.04-480517.9,137.24148,-48.088552,-1.39,ClassII,NV
J094645.19-544445.5,146.688293,-54.745992,0.4,ClassI,Curved
J155119.42-550438.6,237.83056,-55.077318,-1.06,ClassII,NV
J154247.89-542106.2,235.699359,-54.351648,1.27,ClassI,NV
J085311.58-424536.5,133.298253,-42.760315,-0.95,ClassII,NV
J202527.33+395409.0,306.364076,39.902455,-0.43,ClassII,NV
J202406.04+405810.9,306.025199,40.969722,-0.52,ClassII,Irregular
J093348.77-511850.6,143.453263,-51.314156,-0.49,ClassII,NV
J151745.23-582603.7,229.438286,-58.434338,-0.97,ClassII,NV
J124721.74-625741.5,191.840567,-62.961491,0.42,ClassI,NV
J160201.91-514755.6,240.507898,-51.798739,-2.13,ClassIII,NV
J155445.97-524805.0,238.69159,-52.801333,-0.55,ClassII,NV
J084624.69-434111.4,131.602828,-43.686543,-0.94,ClassII,NV
J161308.34-510640.6,243.284449,-51.111205,0.31,ClassI,NV
J093145.89-520720.7,142.941336,-52.122387,-1.22,ClassII,NV
J180050.63-185934.8,270.210962,-18.993033,-0.66,ClassII,Irregular
J191137.46+114424.3,287.906159,11.740096,-1.9,ClassIII,NV
J172412.54-380527.6,261.052186,-38.091027,-0.24,FS,Irregular
J085604.98-460757.7,134.02077,-46.132767,-0.52,ClassII,NV
J191415.17+092711.4,288.563177,9.453241,-0.48,ClassII,NV
J181425.40-175344.0,273.605852,-17.895691,-1.27,ClassII,Irregular
J181204.63-173119.9,273.01944,-17.522112,-0.35,ClassII,NV
J161425.08-495102.5,243.604465,-49.850525,1.56,ClassI,Curved
J201654.79+415812.2,304.228086,41.970022,-1.5,ClassII,NV
J084138.08-420419.9,130.408404,-42.072347,0.51,ClassI,NV
J190353.27+053037.1,285.971938,5.510344,-1.18,ClassII,NV
J172446.59-371916.5,261.194005,-37.32134,-0.27,FS,NV
J191352.66+111500.5,288.469354,11.249917,-1.7,ClassIII,NV
J183845.13-010439.3,279.688024,-1.077567,0.34,ClassI,NV
J204518.99+410557.9,311.329045,41.099462,-0.95,ClassII,NV
J191944.09+135631.1,289.934028,13.942145,0.13,FS,NV
J180227.64-203600.1,270.615478,-20.600079,-0.65,ClassII,NV
J131501.00-634030.3,198.754221,-63.675057,-0.57,ClassII,NV
J083059.94-401355.6,127.749708,-40.232326,0.13,FS,Irregular
J225229.92+594226.0,343.124664,59.707201,1.11,ClassI,NV
J134811.00-614037.7,207.045778,-61.676901,-0.48,ClassII,Irregular
J113803.77-632301.7,174.515654,-63.383764,-0.85,ClassII,NV
J085754.62-473844.0,134.477522,-47.64561,-0.5,ClassII,NV
J090202.74-473833.1,135.511444,-47.642572,-0.99,ClassII,NV
J124122.90-631051.9,190.345486,-63.181163,0.48,ClassI,NV
J224908.54+612406.9,342.285603,61.401904,-1.77,ClassIII,NV
J133142.31-630632.2,202.926162,-63.108876,0.46,ClassI,Curved
J201707.79+392217.6,304.282566,39.371631,-1.38,ClassII,NV
J182113.38-144638.1,275.305868,-14.777271,-0.06,FS,NV
J185550.33+023636.6,283.959787,2.610202,-1.52,ClassII,NV
J172617.73-302745.7,261.573923,-30.462597,-1.25,ClassII,NV
J175552.02-224137.5,268.966782,-22.69369,-0.89,ClassII,Irregular
J170259.08-400444.7,255.746312,-40.07893,-1.0,ClassII,NV
J113811.76-632438.6,174.548847,-63.410748,-0.35,ClassII,NV
J222147.77+584243.9,335.449108,58.712224,-1.37,ClassII,NV
J202429.12+390227.0,306.121337,39.040847,-0.46,ClassII,Irregular
J090330.82-475158.6,135.878459,-47.866342,0.39,ClassI,Irregular
J084405.03-411602.4,131.021062,-41.267403,-0.12,FS,NV
J194546.03+234544.0,296.441936,23.762405,-1.99,ClassIII,NV
J103352.25-585945.6,158.467641,-58.996268,-1.11,ClassII,Irregular
J115552.62-631847.1,178.969127,-63.313147,-1.79,ClassIII,NV
J125520.85-632209.4,193.837267,-63.369241,0.04,FS,Irregular
J114209.63-633216.5,175.540009,-63.537904,-0.44,ClassII,NV
J194352.38+232919.2,295.968326,23.488635,-0.72,ClassII,NV
J192009.61+140211.6,290.04012,14.036623,-1.31,ClassII,NV
J121256.19-614959.1,183.234259,-61.833029,-0.68,ClassII,Irregular
J154441.56-535357.6,236.173279,-53.89938,-1.63,ClassIII,NV
J193846.28+224145.1,294.69272,22.696083,-0.46,ClassII,NV
J085240.60-460153.6,133.169196,-46.031546,-0.37,ClassII,NV
J141043.17-605903.3,212.679987,-60.984389,0.48,ClassI,NV
J201633.52+415335.4,304.139784,41.893235,-0.24,FS,NV
J181840.55-205049.9,274.669056,-20.847282,0.0,FS,Irregular
J165313.34-432522.8,253.305665,-43.422955,-1.73,ClassIII,NV
J085756.79-440717.1,134.486599,-44.121472,-1.22,ClassII,NV
J161927.96-463207.0,244.866506,-46.535272,-1.52,ClassII,NV
J203114.03+411211.4,307.808303,41.203325,-1.18,ClassII,NV
J182537.84-101306.5,276.407707,-10.218474,-0.86,ClassII,Drop
J114512.67-614453.7,176.303336,-61.748144,-1.17,ClassII,Irregular
J133620.82-612021.4,204.086717,-61.339263,-0.69,ClassII,NV
J181928.14-160407.3,274.867276,-16.068554,-0.4,ClassII,NV
J161112.51-502115.0,242.801738,-50.354339,-1.13,ClassII,NV
J103054.47-581623.4,157.726616,-58.273166,-0.38,ClassII,NV
J084255.66-411416.8,130.731934,-41.23801,-0.63,ClassII,Irregular
J093451.36-513609.0,143.713993,-51.602531,-1.61,ClassIII,Irregular
J183630.84-064942.8,279.128518,-6.828465,-0.84,ClassII,NV
J124612.94-631950.8,191.553983,-63.330859,-1.41,ClassII,NV
J180218.42-195525.0,270.576767,-19.923618,0.32,ClassI,Irregular
J090332.74-470252.0,135.886423,-47.047805,0.91,ClassI,NV
J085539.72-432554.4,133.915635,-43.431919,-0.33,ClassII,NV
J135131.04-614315.2,207.879411,-61.720831,-0.84,ClassII,NV
J165849.76-395836.3,254.707333,-39.97668,-1.55,ClassII,NV
J121755.72-625643.0,184.482247,-62.945353,-1.47,ClassII,Irregular
J202454.06+372228.9,306.225505,37.374791,-1.41,ClassII,NV
J154713.59-541452.7,236.806711,-54.247916,-1.16,ClassII,NV
J180918.14-232802.3,272.32559,-23.467314,0.11,FS,NV
J144457.03-601002.0,221.237217,-60.167357,-0.29,FS,NV
J165421.46-452635.8,253.589614,-45.443339,-0.33,ClassII,NV
J084143.56-404551.5,130.431654,-40.764403,-0.39,ClassII,Irregular
J182003.64-113722.6,275.015219,-11.622971,-0.32,ClassII,Irregular
J221207.31+585312.3,333.03068,58.886778,0.47,ClassI,Irregular
J144917.99-595042.7,222.324881,-59.845114,-1.55,ClassII,NV
