Source,RA,Dec,Paper,LCType,YSO_Class
NEOWISE_NS_79,274.53225,-13.841181,Neha_Sharma,Irregular,FS
NEOWISE_NS_80,310.071898,42.619176,Neha_Sharma,NV,FS
NEOWISE_NS_81,331.553596,58.168356,Neha_Sharma,NV,ClassII
NEOWISE_NS_82,273.072564,-20.638527,Neha_Sharma,NV,ClassII
NEOWISE_NS_83,265.385543,-29.100579,Neha_Sharma,Irregular,ClassII
NEOWISE_NS_84,310.074075,41.764949,Neha_Sharma,NV,ClassII
NEOWISE_NS_85,214.553769,-61.448508,Neha_Sharma,NV,ClassI
NEOWISE_NS_86,198.075165,-62.356204,Neha_Sharma,NV,FS
NEOWISE_NS_87,341.532804,62.076936,Neha_Sharma,NV,FS
NEOWISE_NS_88,158.384904,-57.813075,Neha_Sharma,NV,ClassII
NEOWISE_NS_89,210.934753,-62.079568,Neha_Sharma,NV,ClassII
NEOWISE_NS_90,128.491607,-37.941258,Neha_Sharma,NV,ClassI
NEOWISE_NS_91,245.257131,-49.8769,Neha_Sharma,Irregular,ClassII
NEOWISE_NS_92,297.93649,26.077951,Neha_Sharma,NV,ClassII
NEOWISE_NS_93,134.60661,-47.514317,Neha_Sharma,Irregular,ClassI
NEOWISE_NS_94,252.325968,-44.740029,Neha_Sharma,Drop,ClassII
NEOWISE_NS_95,221.223309,-60.216411,Neha_Sharma,Irregular,FS
NEOWISE_NS_96,215.112122,-60.938327,Neha_Sharma,NV,ClassII
NEOWISE_NS_97,267.552871,-25.575762,Neha_Sharma,Irregular,FS
NEOWISE_NS_98,215.681979,-61.133576,Neha_Sharma,NV,ClassII
NEOWISE_NS_99,274.9856,-21.046454,Neha_Sharma,NV,ClassII
NEOWISE_NS_100,274.800955,-17.19935,Neha_Sharma,Irregular,ClassII
NEOWISE_NS_101,279.116322,-9.118346,Neha_Sharma,NV,ClassII
NEOWISE_NS_102,310.976148,40.563716,Neha_Sharma,NV,ClassIII
NEOWISE_NS_103,137.550684,-47.837023,Neha_Sharma,Periodic,FS
NEOWISE_NS_104,137.24148,-48.088552,Neha_Sharma,NV,ClassII
NEOWISE_NS_105,146.688293,-54.745992,Neha_Sharma,Curved,ClassI
NEOWISE_NS_106,237.83056,-55.077318,Neha_Sharma,NV,ClassII
NEOWISE_NS_107,235.699359,-54.351648,Neha_Sharma,NV,ClassI
NEOWISE_NS_108,133.298253,-42.760315,Neha_Sharma,NV,ClassII
NEOWISE_NS_109,306.364076,39.902455,Neha_Sharma,NV,ClassII
NEOWISE_NS_110,306.025199,40.969722,Neha_Sharma,Irregular,ClassII
NEOWISE_NS_111,143.453263,-51.314156,Neha_Sharma,NV,ClassII
NEOWISE_NS_112,229.438286,-58.434338,Neha_Sharma,NV,ClassII
NEOWISE_NS_113,191.840567,-62.961491,Neha_Sharma,NV,ClassI
NEOWISE_NS_114,240.507898,-51.798739,Neha_Sharma,NV,ClassIII
NEOWISE_NS_115,238.69159,-52.801333,Neha_Sharma,NV,ClassII
NEOWISE_NS_116,131.602828,-43.686543,Neha_Sharma,NV,ClassII
NEOWISE_NS_117,243.284449,-51.111205,Neha_Sharma,NV,ClassI
NEOWISE_NS_118,142.941336,-52.122387,Neha_Sharma,NV,ClassII
NEOWISE_NS_119,270.210962,-18.993033,Neha_Sharma,Irregular,ClassII
NEOWISE_NS_120,287.906159,11.740096,Neha_Sharma,NV,ClassIII
NEOWISE_NS_121,261.052186,-38.091027,Neha_Sharma,Irregular,FS
NEOWISE_NS_122,134.02077,-46.132767,Neha_Sharma,NV,ClassII
NEOWISE_NS_123,288.563177,9.453241,Neha_Sharma,NV,ClassII
NEOWISE_NS_124,273.605852,-17.895691,Neha_Sharma,Irregular,ClassII
NEOWISE_NS_125,273.01944,-17.522112,Neha_Sharma,NV,ClassII
NEOWISE_NS_126,243.604465,-49.850525,Neha_Sharma,Curved,ClassI
NEOWISE_NS_127,304.228086,41.970022,Neha_Sharma,NV,ClassII
NEOWISE_NS_128,130.408404,-42.072347,Neha_Sharma,NV,ClassI
NEOWISE_NS_129,285.971938,5.510344,Neha_Sharma,NV,ClassII
NEOWISE_NS_130,261.194005,-37.32134,Neha_Sharma,NV,FS
NEOWISE_NS_131,288.469354,11.249917,Neha_Sharma,NV,ClassIII
NEOWISE_NS_132,279.688024,-1.077567,Neha_Sharma,NV,ClassI
NEOWISE_NS_133,311.329045,41.099462,Neha_Sharma,NV,ClassII
NEOWISE_NS_134,289.934028,13.942145,Neha_Sharma,NV,FS
NEOWISE_NS_135,270.615478,-20.600079,Neha_Sharma,NV,ClassII
NEOWISE_NS_136,198.754221,-63.675057,Neha_Sharma,NV,ClassII
NEOWISE_NS_137,127.749708,-40.232326,Neha_Sharma,Irregular,FS
NEOWISE_NS_138,343.124664,59.707201,Neha_Sharma,NV,ClassI
NEOWISE_NS_139,207.045778,-61.676901,Neha_Sharma,Irregular,ClassII
NEOWISE_NS_140,174.515654,-63.383764,Neha_Sharma,NV,ClassII
NEOWISE_NS_141,134.477522,-47.64561,Neha_Sharma,NV,ClassII
NEOWISE_NS_142,135.511444,-47.642572,Neha_Sharma,NV,ClassII
NEOWISE_NS_143,190.345486,-63.181163,Neha_Sharma,NV,ClassI
NEOWISE_NS_144,342.285603,61.401904,Neha_Sharma,NV,ClassIII
NEOWISE_NS_145,202.926162,-63.108876,Neha_Sharma,Curved,ClassI
NEOWISE_NS_146,304.282566,39.371631,Neha_Sharma,NV,ClassII
NEOWISE_NS_147,275.305868,-14.777271,Neha_Sharma,NV,FS
NEOWISE_NS_148,283.959787,2.610202,Neha_Sharma,NV,ClassII
NEOWISE_NS_149,261.573923,-30.462597,Neha_Sharma,NV,ClassII
NEOWISE_NS_150,268.966782,-22.69369,Neha_Sharma,Irregular,ClassII
NEOWISE_NS_151,255.746312,-40.07893,Neha_Sharma,NV,ClassII
NEOWISE_NS_152,174.548847,-63.410748,Neha_Sharma,NV,ClassII
NEOWISE_NS_153,335.449108,58.712224,Neha_Sharma,NV,ClassII
NEOWISE_NS_154,306.121337,39.040847,Neha_Sharma,Irregular,ClassII
NEOWISE_NS_155,135.878459,-47.866342,Neha_Sharma,Irregular,ClassI
NEOWISE_NS_156,131.021062,-41.267403,Neha_Sharma,NV,FS
