Name,RA,Dec,SED_Slope,YSO_Class,LCType
J181122.84-171440.4,272.845308,-17.244593,-1.52,ClassII,Linear
J085156.96-430639.2,132.987323,-43.110918,-1.23,ClassII,Burst
J181846.75-162634.6,274.694695,-16.442825,-1.15,ClassII,Drop
J181151.75-173627.5,272.965671,-17.607644,0.2,FS,Irregular
J181402.18-190329.6,273.509147,-19.058329,-0.49,ClassII,Irregular
J190154.90+061023.4,285.478544,6.173019,-0.44,ClassII,Irregular
J191031.34+101941.8,287.630598,10.328345,-0.14,FS,Irregular
J171714.28-393340.4,259.309718,-39.561335,-0.42,ClassII,Irregular
J085010.96-414211.4,132.54568,-41.703174,-0.46,ClassII,Burst
J085711.34-431146.2,134.297334,-43.196307,-0.53,ClassII,Burst
J192623.07+170739.2,291.596181,17.127554,-0.46,ClassII,Irregular
J095730.67-562827.7,149.377875,-56.474293,-0.88,ClassII,Curved
J164722.59-441755.0,251.844226,-44.298633,-1.02,ClassII,Irregular
J181102.77-193824.3,272.761558,-19.640105,-1.26,ClassII,Curved
J184830.83-021603.0,282.128382,-2.267594,-1.93,ClassIII,Irregular
J160334.79-533147.1,240.894927,-53.529697,-1.86,ClassIII,Periodic
J202234.55+392846.2,305.644041,39.479534,-0.06,FS,Irregular
J182541.82-130026.0,276.42428,-13.007217,0.6,ClassI,Irregular
J160547.35-522648.1,241.447242,-52.446576,-1.45,ClassII,Drop
J164638.31-463826.9,251.659648,-46.640925,-0.91,ClassII,Irregular
J091600.29-493551.9,139.001222,-49.597802,-0.79,ClassII,Irregular
J084646.81-435313.9,131.694944,-43.887283,-0.39,ClassII,Linear
J203547.52+385224.9,308.947926,38.873617,-1.82,ClassIII,Irregular
J190842.57+074708.9,287.177472,7.785932,-1.18,ClassII,Irregular
J185819.75+013529.1,284.58226,1.591476,-0.03,FS,Irregular
J204023.88+411800.3,310.09954,41.300093,-1.14,ClassII,Irregular
J162143.49-495607.5,245.431222,-49.935359,-0.53,ClassII,Irregular
J103447.35-594319.7,158.697459,-59.722273,-1.19,ClassII,Curved
J170428.64-395113.5,256.119455,-39.853763,0.09,FS,Irregular
J175524.18-244133.0,268.851104,-24.692511,-0.12,FS,Irregular
J144239.71-585430.9,220.665496,-58.908548,-1.7,ClassIII,Irregular
J121029.61-631858.6,182.623026,-63.316466,-0.09,FS,Periodic
J084802.35-431850.3,132.009812,-43.314003,-1.04,ClassII,Irregular
J191342.38+095803.4,288.426641,9.967592,-1.15,ClassII,Burst
J192219.83+145935.3,290.582491,14.993044,-0.54,ClassII,Curved
J182814.34-093250.3,277.059845,-9.547315,-1.41,ClassII,Burst
J195209.34+273504.0,298.039006,27.584475,0.17,FS,Irregular
J171941.31-362417.9,259.922089,-36.405001,-1.43,ClassII,Irregular
J203258.17+411735.0,308.242399,41.292992,-1.87,ClassIII,Drop
J085949.35-435805.6,134.955636,-43.968263,-1.59,ClassII,Irregular
J184359.30-033924.0,280.996961,-3.656663,-1.23,ClassII,Irregular
J202652.28+403716.3,306.717795,40.62132,-1.17,ClassII,Curved
J103612.87-590259.3,159.053604,-59.049818,-0.31,ClassII,Irregular
J225517.13+595045.0,343.821446,59.845885,0.05,FS,Irregular
J223335.43+594717.9,338.3976,59.788313,-1.29,ClassII,Drop
J203758.86+422555.5,309.495221,42.432135,-0.09,FS,Irregular
J202300.46+372422.1,305.751877,37.406179,0.47,ClassI,Irregular
J171756.92-361135.9,259.487201,-36.193281,-0.21,FS,Curved
J165356.25-400825.3,253.484403,-40.140371,-0.66,ClassII,Irregular
J202602.18+392237.0,306.50916,39.376951,-0.76,ClassII,Irregular
J221801.23+571717.4,334.50505,57.288157,-1.21,ClassII,Drop
J090537.65-475629.3,136.406975,-47.941481,-0.06,FS,Irregular
J202420.25+422635.8,306.084525,42.443303,-1.31,ClassII,Irregular
J181825.95-135537.9,274.60813,-13.927208,0.79,ClassI,Irregular
J182650.31-094858.2,276.709682,-9.816184,-0.29,FS,Irregular
J181934.74-144106.8,274.894826,-14.6853,-0.65,ClassII,Irregular
J191505.71+101749.4,288.773803,10.297046,-0.14,FS,Irregular
J171525.73-430321.9,258.85723,-43.056113,-0.97,ClassII,Irregular
J145113.79-594743.4,222.807383,-59.79532,0.42,ClassI,Irregular
J173102.71-325328.2,262.761163,-32.891175,-1.18,ClassII,Irregular
J203201.37+411146.8,308.005745,41.196352,0.1,FS,Irregular
J102718.92-581650.6,156.828885,-58.280794,-0.39,ClassII,Curved
J083430.75-392802.6,128.628256,-39.467421,-0.16,FS,Irregular
J165412.52-443747.4,253.552197,-44.629843,-1.19,ClassII,Irregular
J190433.23+042414.9,286.138427,4.404195,-0.88,ClassII,Irregular
J171524.97-380818.3,258.854048,-38.13854,-1.75,ClassIII,Irregular
J191358.49+085932.0,288.493812,8.99222,-0.86,ClassII,Irregular
J115008.68-621442.4,177.536314,-62.245226,-0.28,FS,Irregular
J224920.73+595734.4,342.336344,59.959467,1.42,ClassI,Irregular
J181907.30-170512.0,274.780521,-17.086705,-0.83,ClassII,Irregular
J161451.07-470906.9,243.712778,-47.15193,0.31,ClassI,Irregular
J194934.07+272331.8,297.391983,27.392196,-0.24,FS,Irregular
J175524.73-212757.8,268.85305,-21.466051,-0.98,ClassII,Irregular
J140309.15-614741.2,210.7882,-61.794685,-0.52,ClassII,Curved
J085958.72-454322.3,134.99463,-45.722916,0.7,ClassI,Irregular
J083904.93-410334.5,129.770641,-41.059704,1.15,ClassI,Irregular
J181137.00-192858.4,272.90422,-19.482923,0.58,ClassI,Irregular
J091024.01-493542.6,137.600038,-49.595163,-0.14,FS,Curved
J182101.33-155944.3,275.255686,-15.995721,-0.65,ClassII,Irregular
J135312.23-620413.2,208.301043,-62.070285,-0.65,ClassII,Irregular
J225106.86+610546.9,342.778558,61.096353,-1.51,ClassII,Irregular
J160415.36-503607.0,241.064031,-50.601926,-0.07,FS,Curved
J203144.73+411422.5,307.936397,41.239577,-0.83,ClassII,Irregular
J090426.59-485502.0,136.110806,-48.917256,-1.31,ClassII,Irregular
J220936.43+583352.6,332.401873,58.564649,-0.02,FS,Curved
J105626.54-601813.1,164.110885,-60.303489,-0.3,FS,Irregular
J160302.69-532245.7,240.761182,-53.379352,-1.17,ClassII,Irregular
J113802.10-620412.7,174.508975,-62.070295,-0.0,FS,Curved
J164928.33-451440.1,252.36816,-45.24452,-0.48,ClassII,Irregular
J090001.17-440243.1,135.004907,-44.045311,-1.16,ClassII,Irregular
J160203.33-513006.4,240.513723,-51.501787,-0.17,FS,Curved
J174149.08-305308.1,265.454479,-30.885694,-0.32,ClassII,Irregular
J202133.62+405109.2,305.390276,40.852574,-0.33,ClassII,Burst
J202348.86+392910.0,305.95361,39.486157,-0.41,ClassII,Irregular
J224130.34+590823.6,340.376473,59.139945,-0.37,ClassII,Irregular
J103947.69-583947.6,159.948583,-58.663279,-1.27,ClassII,Irregular
J144913.14-593324.6,222.304988,-59.556872,-0.56,ClassII,Irregular
J124357.13-625445.0,190.988085,-62.912541,-0.37,ClassII,Periodic
J083913.14-405745.7,129.80476,-40.962703,0.03,FS,Irregular
J194538.26+243141.1,296.409138,24.528193,-0.69,ClassII,Irregular
J202445.52+391126.3,306.189761,39.190656,-1.24,ClassII,Irregular
J170342.46-402130.8,255.926872,-40.358516,-0.67,ClassII,Irregular
J202438.85+382959.8,306.161726,38.499977,-0.88,ClassII,Burst
J181659.83-121040.7,274.249367,-12.177993,-0.58,ClassII,Irregular
J093331.12-523730.7,143.379347,-52.625246,-0.31,ClassII,Irregular
J165442.09-451213.5,253.675195,-45.203663,0.42,ClassI,Irregular
J160851.28-542440.8,242.213677,-54.411335,-0.74,ClassII,Irregular
J170218.05-402632.5,255.575178,-40.442372,-0.74,ClassII,Irregular
